iter	Passed	Remaining
346	158290	69793
347	158816	69367
348	159240	68897
349	159713	68448
350	160147	67982
351	160634	67539
352	161105	67089
353	161568	66635
354	162082	66202
355	162507	65733
356	163032	65304
357	163510	64855
358	164048	64431
359	164453	63954
360	164957	63515
361	165314	63020
362	165743	62553
363	166190	62093
364	166634	61632
365	167031	61153
366	167476	60693
367	167951	60243
368	168361	59770
369	168773	59298
370	169275	58858
371	169681	58384
372	170252	57967
373	170677	57500
374	171121	57040
375	171579	56584
376	172003	56117
377	172446	55657
378	172909	55203
379	173456	54775
380	173892	54312
381	174349	53856
382	174799	53398
383	175176	52917
384	175622	52458
385	175969	51970
386	176501	51536
387	177018	51098
388	177439	50631
389	177928	50185
390	178286	49701
391	178740	49244
392	179220	48795
393	179686	48342
394	180062	47864
395	180462	47394
396	180937	46943
397	181467	46506
398	181931	46052
399	182358	45589
400	182891	45152
401	183372	44702
402	183758	44229
403	184172	43763
404	184603	43302
405	184979	42827
406	185447	42374
407	186072	41957
408	186526	41501
409	186967	41041
410	187362	40572
411	187877	40129
412	188301	39666
413	188783	39215
414	189217	38755
415	189673	38299
416	190123	37842
417	190585	37387
418	190990	36921
419	191433	36463
420	191908	36011
421	192344	35551
422	192813	35098
423	193243	34637
424	193676	34178
425	194102	33717
426	194692	33284
427	195229	32842
428	195700	32388
429	196167	31934
430	196612	31476
431	197043	31016
432	197515	30562
433	198069	30121
434	198519	29663
435	198959	29205
436	199437	28751
437	199846	28288
438	200297	27831
439	200792	27380
440	201320	26934
441	201777	26477
442	202179	26014
443	202716	25567
444	203169	25110
445	203561	24646
446	204075	24196
447	204482	23734
448	204867	23270
449	205394	22821
450	205833	22363
451	206298	21907
452	206743	21450
453	207222	20996
454	207632	20535
455	208123	20082
456	208522	19620
457	209052	19170
458	209581	18720
459	210084	18268
460	210562	17813
461	211078	17361
462	211545	16905
463	212027	16450
464	212505	15995
465	213030	15543
466	213466	15084
467	213853	14622
468	214348	14167
469	214706	13704
470	215153	13247
471	215547	12786
472	216077	12334
473	216565	11879
474	216952	11418
475	217554	10969
476	218038	10513
477	218487	10055
478	219080	9604
479	219629	9151
480	220393	8705
481	220888	8248
482	221315	7789
483	221816	7332
484	222486	6881
485	223056	6425
486	223564	5967
487	224080	5510
488	224582	5051
489	225144	4594
490	225649	4136
491	226091	3676
492	226567	3216
493	226945	2756
494	227459	2297
495	227988	1838
496	228762	1380
497	229240	920
498	229770	460
499	230222	0
