iter	MultiClass
461	0.4762653951
462	0.4760802634
463	0.4759809497
464	0.4758950129
465	0.475777014
466	0.4756136296
467	0.4755727172
468	0.4754298581
469	0.4753510652
470	0.475272198
471	0.4752294189
472	0.4751221949
473	0.4749913293
474	0.4748734256
475	0.47475298
476	0.474675169
477	0.4746176411
478	0.4745251978
479	0.4743510803
480	0.4742394987
481	0.4740736373
482	0.4739979106
483	0.473865649
484	0.4738048658
485	0.4737168376
486	0.4735992868
487	0.473469012
488	0.4733886096
489	0.4732413197
490	0.4731651812
491	0.4731012168
492	0.4729847564
493	0.472867462
494	0.4727773625
495	0.472673618
496	0.4726058656
497	0.4724310696
498	0.4723314633
499	0.4722252195
